2020-09-02 18:34:54.512 [main] INFO  c.e.mybatis.mybatisdemo.MybatisdemoApplication - Starting MybatisdemoApplication on Wang.local with PID 19457 (/Users/vincentwang/code/mybatisdemo/target/classes started by vincentwang in /Users/vincentwang/code/mybatisdemo)
2020-09-02 18:34:54.515 [main] INFO  c.e.mybatis.mybatisdemo.MybatisdemoApplication - The following profiles are active: dev
2020-09-02 18:34:55.133 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-09-02 18:34:55.133 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2020-09-02 18:34:55.153 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 16ms. Found 0 JDBC repository interfaces.
2020-09-02 18:34:55.166 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-09-02 18:34:55.167 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-09-02 18:34:55.178 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4ms. Found 0 Redis repository interfaces.
2020-09-02 18:34:55.843 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2020-09-02 18:34:55.851 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2020-09-02 18:34:55.852 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-09-02 18:34:55.852 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-09-02 18:34:55.929 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-09-02 18:34:55.930 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1364 ms
2020-09-02 18:34:56.740 [main] INFO  org.redisson.Version - Redisson 3.13.1
2020-09-02 18:34:56.975 [redisson-netty-4-5] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for /192.168.0.103:6379
2020-09-02 18:34:56.991 [redisson-netty-4-7] INFO  org.redisson.connection.pool.MasterConnectionPool - 50 connections initialized for /192.168.0.103:6379
2020-09-02 18:34:57.269 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-09-02 18:34:58.044 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-09-02 18:34:58.166 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-09-02 18:34:58.199 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2020-09-02 18:34:58.213 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
2020-09-02 18:34:58.227 [main] INFO  c.e.mybatis.mybatisdemo.MybatisdemoApplication - Started MybatisdemoApplication in 4.166 seconds (JVM running for 4.896)
2020-09-02 18:41:05.889 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2020-09-02 18:41:05.891 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-09-02 18:41:05.904 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2020-09-02 18:41:05.911 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
